caseId,caseName,title,methodName,method,url,testStepType,testStepID,headers,deviceID,platform,platformVersion,appVersion,mobile,param,if_token,checkPoints
card/obtainCard,card/obtainCard,获取名片,card/obtainCard,post,http://124.251.88.61:18086/card/obtainCard,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={""authKey"":{""appVersion"":""3.1.4"",""deviceId"":""${deviceId}"",""platform"":""android"",""platformVersion"":""19"",""ticket"":""${ticket}"",""userId"":""2109"",""userToken"":""${token}""},""bizKey"":""{\""feedId\"":\""c_1745083193004897\"",\""ownByUserId\"":\""2109\"",\""version\"":\""1456379987680\""}""}",,JSONPATHMATCH:$.code=0
card/cardFrame,card/cardFrame,面查询,card/cardFrame,post,http://124.251.88.61:18086/card/cardFrame,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={""authKey"":{""appVersion"":""3.1.4"",""deviceId"":""${deviceId}"",""platform"":""android"",""platformVersion"":""19"",""ticket"":""${ticket}"",""userId"":""2109"",""userToken"":""${token}""},""bizKey"":""{\""aspectType\"":\""3\"",\""fromFeedId\"":\""c_1450692478362480\"",\""toFeedId\"":\""c_1450692478362480\"",\""version\"":\""1456369907187\""}""}",,JSONPATHMATCH:$.code=0
card/updateLocationCoordinate,card/updateLocationCoordinate,更新用户位置坐标信息,card/updateLocationCoordinate,post,http://124.251.88.61:18086/card/updateLocationCoordinate,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={""authKey"":{""appVersion"":""3.1.4"",""deviceId"":""${deviceId}"",""platform"":""android"",""platformVersion"":""19"",""ticket"":""${ticket}"",""userId"":""2109"",""userToken"":""${token}""},""bizKey"":""{\""adcodes\"":\""110105\"",\""countrycode\"":\""010\"",\""feedIds\"":\""c_3730\"",\""latilongitude\"":\""39.995048749209744,116.45162414032416\""}""}",,JSONPATHMATCH:$.code=0
card/obtainResumeBaseInfo,card/obtainResumeBaseInfo,获取简历基本信息(个人基本信息),card/obtainResumeBaseInfo,post,http://124.251.88.61:18086/card/obtainResumeBaseInfo ,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={
  ""authKey"" : {
    ""deviceId"" : ""${deviceId}"",
    ""ticket"" : ""${ticket}"",
    ""userId"" : ""2109"",
    ""appVersion"" : ""3.1.3"",
    ""platform"" : ""Android"",
    ""platformVersion"" : ""19"",
    ""userToken"" : ""${token}""
  },
  ""bizKey"" : ""{\n  \""feedId\"" : \""c_1450692478362480\""\n}""
}",,JSONPATHMATCH:$.code=0
saveResumeBaseInfo,saveResumeBaseInfo,获取简历基本信息(个人基本信息),saveResumeBaseInfo,post,http://124.251.88.61:18086/card/saveResumeBaseInfo,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={
  ""authKey"" : {
    ""deviceId"" : ""${deviceId}"",
    ""ticket"" : ""${ticket}"",
    ""userId"" : ""2109"",
    ""appVersion"" : ""3.1.3"",
    ""platform"" : ""Android"",
    ""platformVersion"" : ""19"",
    ""userToken"" : ""${token}""
  },
  ""bizKey"" : ""{\n  \""sex\"" : \""0\"",\n  \""birthday\"" : \""2016-02-25\"",\n  \""feedId\"" : \""c_1450692478362480\"",\n  \""summary\"" : \""你好\""\n}""
}",,JSONPATHMATCH:$.code=0
createCard,createCard,创建名片,createCard,post,http://124.251.88.61:18086/card/createCard,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={
  ""authKey"" : {
    ""deviceId"" : ""${deviceId}"",
    ""ticket"" : ""${ticket}"",
    ""userId"" : ""2109"",
    ""appVersion"" : ""3.1.3"",
    ""platform"" : ""Android"",
    ""platformVersion"" : ""19"",
    ""userToken"" : ""${token}""
  },
  ""bizKey"" : ""{\n  \""title\"" : \""新名片\"",\n  \""subtitle\"" : \""我就是我\"",\n  \""lbsStatus\"" : \""1\""\n}""
}",,JSONPATHMATCH:$.code=0
obtainCardFieldConfig,obtainCardFieldConfig,获取名片配置字段表,obtainCardFieldConfig,post,http://124.251.88.61:18086/card/obtainCardFieldConfig,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={
  ""authKey"" : {
    ""deviceId"" : ""${deviceId}"",
    ""ticket"" : ""${ticket}"",
    ""userId"" : ""2109"",
    ""appVersion"" : ""3.1.3"",
    ""platform"" : ""Android"",
    ""platformVersion"" : ""19"",
    ""userToken"" : ""${token}""
  },
  ""bizKey"" : ""{\n  \""version\"" : \""1456388218794\""\n}""
}",,JSONPATHMATCH:$.code=0
obtainCardRecommendationList,obtainCardRecommendationList,获取名片推荐列表,obtainCardRecommendationList,post,http://124.251.88.61:18086/card/obtainCardRecommendationList,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={
  ""authKey"" : {
    ""deviceId"" : ""${deviceId}"",
    ""ticket"" : ""${ticket}"",
    ""userId"" : ""2109"",
    ""appVersion"" : ""3.1.3"",
    ""platform"" : ""Android"",
    ""platformVersion"" : ""19"",
    ""userToken"" : ""${token}""
  },
  ""bizKey"" : ""{\n  \""version\"" : \""0\"",\n  \""feedId\"" : \""c_305252\""\n}""
}",,JSONPATHMATCH:$.code=0
card/obtainCardLF,card/obtainCardLF,获取名片列表面,card/obtainCardLF,post,http://124.251.88.61:18086/card/obtainCardLF,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={""authKey"":{""appVersion"":""3.1.4"",""deviceId"":""${deviceId}"",""platform"":""android"",""platformVersion"":""19"",""ticket"":""${ticket}"",""userId"":""2109"",""userToken"":""${token}""},""bizKey"":""{\""toFeedId\"":\""c_1745083193004897\""}""}",,JSONPATHMATCH:$.code=0
contact/obtainContactFeed,contact/obtainContactFeed,获取联系人feed（通讯录）,contact/obtainContactFeed,post,http://124.251.88.61:18097/contact/obtainContactFeed,1,1,Content-Type:application/x-www-form-urlencoded;charset=utf-8,0,IOS,2.3,333,asdf,"toonKey={""authKey"":{""appVersion"":""3.1.4"",""deviceId"":""${deviceId}"",""platform"":""android"",""platformVersion"":""19"",""ticket"":""${ticket}"",""userId"":""2109"",""userToken"":""${token}""},""bizKey"":""{\""userId\"":\""2109\"",\""version\"":\""1456365272427\""}""}",,JSONPATHMATCH:$.code=0
