序号,标题,接口名称,测试URL,IMEI/UUID,"platform
（android/iOS）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
1,名片-创建-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试""}",yes,"""result"":""success"""
2,名片-创建-图片-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234""}",yes,"""result"":""success"""
3,名片-创建-背景图片-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""backgroundId"" : ""1234""}",yes,"""result"":""success"""
4,名片-创建-交换方式1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""backgroundId"" : ""1234"", ""joinMethod"" : 1}",yes,"""result"":""success"""
5,名片-创建-交换方式2-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""backgroundId"" : ""1234"", ""joinMethod"" : 2}",yes,"""result"":""success"""
6,名片-创建-交换方式3-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""backgroundId"" : ""1234"", ""joinMethod"" : 3}",yes,"""result"":""success"""
7,名片-创建-名片-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""backgroundId"" : ""1234"", ""feedId"" : ""c_333686""}",yes,"""result"":""success"""
8,名片-创建-搜索开关0-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""searchStatus"" : ""0""}",yes,"""result"":""success"""
9,名片-创建-搜索开关1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""searchStatus"" : 1}",yes,"""result"":""success"""
10,名片-创建-搜索开关整型1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""searchStatus"" : ""1""}",yes,"""result"":""success"""
11,名片-创建-名片传播子分类-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""spreadSubCategorys"" : ""syswin""}",yes,"""result"":""success"""
12,名片-创建-搜索开关1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""searchStatus"" : 1}",yes,"""result"":""success"""
13,名片-创建-拥有者id-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""ownByUserId"" : ""11111""}",yes,"""result"":""success"""
14,名片-创建-使用者id-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""useByUserId"" : 111111}",yes,"""result"":""success"""
15,名片-创建-位置状态0-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : 0}",yes,"""result"":""success"""
16,名片-创建-位置状态1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : 1}",yes,"""result"":""success"""
17,名片-创建-位置状态2-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : 2}",yes,"""result"":""success"""
18,名片-创建-无效位置状态-失败,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : -3}",yes,"""result"":""success"""
19,名片-创建-位置明细-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : 0, ""locationDetail"" : ""Beijing""}",yes,"""result"":""success"""
20,名片-创建-位置坐标-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""lbsStatus"" : 0, ""locationDetail"" : ""Beijing"", ""locationCoordinate"" : ""Beijinger""}",yes,"""result"":""success"""
21,名片-创建-搜索开关1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""avatarId"" : ""1234"", ""searchStatus"" : 1}",yes,"""result"":""success"""
22,名片-创建-使用状态0-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""useStatus"" : 0}",yes,"""result"":""success"""
23,名片-创建-使用状态1-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""useStatus"" : 1}",yes,"""result"":""success"""
24,名片-创建-使用状态2-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""useStatus"" : 2}",yes,"""result"":""success"""
25,名片-创建-使用状态3-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""useStatus"" : 3}",yes,"""result"":""success"""
26,名片-创建-性别-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""sex"" : 0}",yes,"""result"":""success"""
27,名片-创建-性别-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""sex"" : 1}",yes,"""result"":""success"""
28,名片-创建-年龄-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""age"" : 50}",yes,"""result"":""success"""
29,名片-创建-时间戳-成功,card/createCard,http://172.28.6.111:8080/card/createCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{  ""title"" : ""朱建生"",  ""subtitle"" : ""测试"", ""version"" : 12345}",yes,"""result"":""success"""
30,面板-查询-成功,card/cardFrame,http://172.28.6.111:8080/card/cardFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""aspectType"" : ""3"",  ""toFeedId"" : ""c_333763"", ""version"" : ""0"", ""fromFeedId"" : ""c_333763""}",yes,"""result"":""success"""
